ASV,stat,p-value,adjust pvalue,OA
ASV11944,0.1337103,0.023,0.201911809,Low
ASV11909,0.266759158,0.001,0.018126543,Low
ASV11900,0.183280464,0.003,0.041652482,Low
ASV11787,0.194651526,0.002,0.031074074,Low
ASV11740,0.185220336,0.002,0.031074074,Low
ASV11570,0.225516619,0.003,0.041652482,Low
ASV11552,0.202863608,0.001,0.018126543,Low
ASV11531,0.160621998,0.003,0.041652482,Low
ASV11471,0.193677961,0.003,0.041652482,Low
ASV1137,0.133988334,0.032,0.251924933,Low
ASV11292,0.248080907,0.001,0.018126543,Low
ASV11285,0.189697577,0.001,0.018126543,Low
ASV11233,0.139542477,0.015,0.150076661,Low
ASV11058,0.237216376,0.001,0.018126543,Low
ASV11028,0.125723626,0.048,0.341701818,Low
ASV11016,0.183121233,0.001,0.018126543,Low
ASV10861,0.146150846,0.039,0.290668782,Low
ASV10829,0.171630443,0.001,0.018126543,Low
ASV10825,0.170139401,0.004,0.051517544,Low
ASV10806,0.170073924,0.006,0.069916667,Low
ASV10782,0.284593483,0.001,0.018126543,Low
ASV10496,0.233082149,0.001,0.018126543,Low
ASV1049,0.172298508,0.004,0.051517544,Low
ASV10475,0.146076072,0.029,0.238205594,Low
ASV10444,0.252576264,0.001,0.018126543,Low
ASV10303,0.154171219,0.007,0.079059615,Low
ASV10252,0.165068621,0.005,0.060297741,Low
ASV10238,0.13741365,0.017,0.165026446,Low
ASV10199,0.275426915,0.001,0.018126543,Low
ASV10198,0.148134593,0.045,0.324674447,Low
ASV10090,0.12675154,0.025,0.215285924,Low
ASV9968,0.340852278,0.001,0.018126543,High
ASV9783,0.233512003,0.001,0.018126543,High
ASV9760,0.16993177,0.011,0.115983842,High
ASV9636,0.137483784,0.038,0.285754161,High
ASV9626,0.211112011,0.004,0.051517544,High
ASV9588,0.15106646,0.038,0.285754161,High
ASV9484,0.291327346,0.001,0.018126543,High
ASV9436,0.163943608,0.014,0.142499133,High
ASV9324,0.431304158,0.001,0.018126543,High
ASV9249,0.440338173,0.001,0.018126543,High
ASV9227,0.206543871,0.002,0.031074074,High
ASV9224,0.268238589,0.001,0.018126543,High
ASV9222,0.276892688,0.001,0.018126543,High
ASV9199,0.202253489,0.006,0.069916667,High
ASV9153,0.296997612,0.001,0.018126543,High
ASV9139,0.224441906,0.001,0.018126543,High
ASV913,0.314315264,0.001,0.018126543,High
ASV9126,0.303741588,0.001,0.018126543,High
ASV9054,0.194897177,0.005,0.060297741,High
ASV9042,0.229624952,0.002,0.031074074,High
ASV9022,0.172276788,0.015,0.150076661,High
ASV9002,0.208334054,0.002,0.031074074,High
ASV8886,0.254680787,0.001,0.018126543,High
ASV8847,0.445954799,0.001,0.018126543,High
ASV8701,0.160799848,0.024,0.208817778,High
ASV8696,0.198593673,0.005,0.060297741,High
ASV8682,0.164905101,0.018,0.172735294,High
ASV8664,0.167147003,0.011,0.115983842,High
ASV8605,0.26532697,0.001,0.018126543,High
ASV8597,0.208807477,0.004,0.051517544,High
ASV8437,0.239976372,0.003,0.041652482,High
ASV8426,0.233434467,0.004,0.051517544,High
ASV8361,0.150706358,0.04,0.296616162,High
ASV8236,0.336611697,0.001,0.018126543,High
ASV8222,0.152830657,0.045,0.324674447,High
ASV8164,0.257210249,0.001,0.018126543,High
ASV816,0.254144692,0.001,0.018126543,High
ASV808,0.157887022,0.024,0.208817778,High
ASV8061,0.223230531,0.001,0.018126543,High
ASV8011,0.235443041,0.001,0.018126543,High
ASV7994,0.157694971,0.032,0.251924933,High
ASV7940,0.145343367,0.045,0.324674447,High
ASV7920,0.477514939,0.001,0.018126543,High
ASV7912,0.276732829,0.001,0.018126543,High
ASV7884,0.225326229,0.002,0.031074074,High
ASV7851,0.266446199,0.001,0.018126543,High
ASV7846,0.256729476,0.001,0.018126543,High
ASV784,0.239921872,0.001,0.018126543,High
ASV7764,0.167776745,0.016,0.15872973,High
ASV7727,0.218606058,0.002,0.031074074,High
ASV7687,0.278417365,0.001,0.018126543,High
ASV7629,0.364045476,0.001,0.018126543,High
ASV7627,0.14668635,0.039,0.290668782,High
ASV7596,0.180131203,0.014,0.142499133,High
ASV7565,0.204225974,0.004,0.051517544,High
ASV7441,0.246436603,0.001,0.018126543,High
ASV7361,0.145038031,0.017,0.165026446,High
ASV7294,0.24505341,0.001,0.018126543,High
ASV7264,0.164070105,0.026,0.220981187,High
ASV7049,0.217243043,0.002,0.031074074,High
ASV7033,0.15039316,0.027,0.227179083,High
ASV6971,0.17374599,0.017,0.165026446,High
ASV6967,0.155854911,0.024,0.208817778,High
ASV6942,0.230417851,0.001,0.018126543,High
ASV686,0.201590818,0.004,0.051517544,High
ASV6706,0.194701806,0.005,0.060297741,High
ASV6624,0.30569686,0.001,0.018126543,High
ASV6457,0.331535744,0.001,0.018126543,High
ASV6442,0.166726916,0.02,0.187936,High
ASV6350,0.155316645,0.035,0.267998696,High
ASV6318,0.300752971,0.001,0.018126543,High
ASV6240,0.185395881,0.002,0.031074074,High
ASV623,0.355861904,0.001,0.018126543,High
ASV6134,0.479332867,0.001,0.018126543,High
ASV6117,0.225464572,0.002,0.031074074,High
ASV605,0.534807204,0.001,0.018126543,High
ASV5969,0.199071593,0.006,0.069916667,High
ASV5968,0.220602907,0.003,0.041652482,High
ASV5926,0.171897901,0.017,0.165026446,High
ASV5906,0.186064273,0.01,0.107761468,High
ASV5879,0.167421645,0.014,0.142499133,High
ASV5871,0.178464003,0.02,0.187936,High
ASV5804,0.428701768,0.001,0.018126543,High
ASV5771,0.258166414,0.001,0.018126543,High
ASV5608,0.190079216,0.007,0.079059615,High
ASV5577,0.190856905,0.007,0.079059615,High
ASV5558,0.167397501,0.023,0.201911809,High
ASV552,0.208417825,0.003,0.041652482,High
ASV5418,0.309567044,0.001,0.018126543,High
ASV541,0.292936375,0.001,0.018126543,High
ASV5363,0.186785249,0.004,0.051517544,High
ASV5318,0.150026793,0.047,0.335804136,High
ASV5274,0.149393415,0.047,0.335804136,High
ASV5257,0.204653316,0.005,0.060297741,High
ASV5234,0.280388964,0.001,0.018126543,High
ASV512,0.33648547,0.001,0.018126543,High
ASV5095,0.177212887,0.013,0.134181019,High
ASV504,0.17496583,0.009,0.098064935,High
ASV5025,0.179113005,0.002,0.031074074,High
ASV50,0.293169788,0.001,0.018126543,High
ASV4993,0.213887475,0.003,0.041652482,High
ASV4887,0.153917575,0.024,0.208817778,High
ASV4830,0.217984694,0.001,0.018126543,High
ASV4804,0.229130095,0.001,0.018126543,High
ASV4707,0.526703662,0.001,0.018126543,High
ASV4670,0.524734038,0.001,0.018126543,High
ASV4664,0.232863301,0.004,0.051517544,High
ASV4586,0.192063776,0.005,0.060297741,High
ASV4271,0.216177136,0.004,0.051517544,High
ASV4259,0.210838575,0.001,0.018126543,High
ASV4202,0.300061219,0.001,0.018126543,High
ASV420,0.410388502,0.001,0.018126543,High
ASV4191,0.197712685,0.005,0.060297741,High
ASV4174,0.223855759,0.001,0.018126543,High
ASV4148,0.238765876,0.001,0.018126543,High
ASV4060,0.240121572,0.001,0.018126543,High
ASV4030,0.366797022,0.001,0.018126543,High
ASV3897,0.163521855,0.014,0.142499133,High
ASV3895,0.13645827,0.045,0.324674447,High
ASV3867,0.143400344,0.038,0.285754161,High
ASV3860,0.283749915,0.001,0.018126543,High
ASV3779,0.232289851,0.001,0.018126543,High
ASV3668,0.163502176,0.019,0.18026979,High
ASV366,0.319033451,0.001,0.018126543,High
ASV365,0.174620819,0.012,0.124515901,High
ASV3639,0.150664416,0.035,0.267998696,High
ASV3633,0.201148187,0.005,0.060297741,High
ASV3615,0.141121297,0.042,0.307563591,High
ASV3490,0.14706493,0.026,0.220981187,High
ASV3423,0.409982437,0.001,0.018126543,High
ASV3406,0.250429459,0.001,0.018126543,High
ASV3404,0.186880245,0.008,0.088816635,High
ASV3376,0.165915512,0.006,0.069916667,High
ASV3360,0.205596636,0.003,0.041652482,High
ASV3276,0.271221867,0.001,0.018126543,High
ASV3268,0.174300592,0.011,0.115983842,High
ASV3225,0.145425387,0.036,0.273870466,High
ASV3144,0.175351502,0.015,0.150076661,High
ASV3123,0.321828325,0.001,0.018126543,High
ASV2986,0.491378543,0.001,0.018126543,High
ASV2984,0.384563782,0.001,0.018126543,High
