Latitude	Longitude	Depth	temp	salinity	oxygen	nitrate	nh4	dic	pH_corrected	phosphate	log_temp	log_salinity	log_phosphate	log_nh4	log_nitrate
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund	abund
26.879	-82.889	1	28.585	36.021	192	0.031209767	0.08777747	2050.784868	8.029	0.033160378	3.353231877	3.584379679	-3.142832381	-2.325061097	-3.189079988
26.729	-83.101	1	28.45	35.98	191	0.062421474	0.23310519	2056.080871	8.028	0.067298151	3.348499593	3.583241122	-2.560085243	-1.414261049	-2.625252421
26.62	-83.24	1	28.603	35.902	193.4	0.04389262	0.14435795	2040.946848	8.039	0.036089488	3.35386116	3.581071501	-3.077170381	-1.868481023	-2.920761731
26.521	-83.409	1	28.783	36.046	194.2	0	0.196999108	2042.014849	8.039	0.052663128	3.360132302	3.585073285	-2.769982074	-1.575040795	-4.605170186
26.387	-83.607	1	28.779	35.883	195.4	0.003901435	0.11704305	2033.493759	8.054	0.033162198	3.35999337	3.58054229	-3.142790213	-2.063229274	-4.275763207
26.259	-83.806	1	28.493	35.399	196.2	0.003902848	0.176603889	2030.58614	8.062	0.014635681	3.350009345	3.566966025	-3.70355944	-1.678767149	-4.275661568
26.132	-84.003	1	28.524	35.541	196.6	0.009757706	0.107334761	2030.447921	8.063	0.022442723	3.351096359	3.570968285	-3.428279114	-2.142724225	-3.924211687
26.002	-84.197	1	28.535	35.497	197	0.011709613	0.16491038	2029.743914	8.046	0.031225634	3.351481789	3.56972986	-3.188695032	-1.743481551	-3.830000121
25.874	-84.393	1	28.534	35.373	196	0.205929011	0.154202767	2027.482705	8.051	0.021471271	3.351446756	3.566231479	-3.458680181	-1.806653231	-1.532805578
25.745	-84.589	1	28.295	35.516	194.2	0.146379557	0.193221015	2027.843616	8.063	0.015613819	3.343038467	3.570264823	-3.664623268	-1.593461148	-1.855469169
25.658	-84.715	1	27.983	35.998	195.4	0.013656245	0.202892778	2040.595156	8.057	0.031214274	3.331954479	3.583741136	-3.188970626	-1.54696663	-3.74412814
25.574	-84.843	1	27.901	35.602	199.5	0.009758794	0.189320608	2039.009974	8.092	0.0331799	3.329020876	3.57268266	-3.14238017	-1.612840655	-3.924156621
