Latitude	Longitude	Depth	Sagenista	Dinophyceae	Prymnesiophyceae	Syndiniales	Sar11	Sar86	Flavobacteriales	Prochlorococcus	Synechococcus
deg	deg	m	abund	abund	abund	abund	abund	abund	abund	abund	abund
22	-92.917	1	4.825647819	NA	NA	NA	NA	NA	NA	NA	NA
21.733	-92.318	1	4.703731194	NA	NA	NA	NA	NA	5.154495935	NA	5.532865537
21.45	-91.567	1	4.620492629	6.976839658	5.105407089	6.497899879	7.622105037	5.713061921	5.149268294	5.909138232	5.725774444
21.167	-90.768	1	4.436613525	6.715608462	5.280247074	6.442272144	7.650560928	5.658990327	5.198102467	4.478187474	6.00029087
21.701	-89.667	1	4.512545295	6.894842738	5.34804642	6.56101303	7.627759982	5.770612383	5.106305912	5.532433898	5.633311532
22.272	-90.043	1	4.689614348	6.907712254	5.090063351	6.78217721	7.55499069	5.763293685	5.292811809	5.880494737	5.639374752
22.659	-90.288	1	4.562841792	6.94913392	5.165905499	6.971059581	7.60933666	5.903850234	5.275149416	6.971463834	5.402033943
22.971	-90.499	1	4.568140453	7.069781181	5.063126922	6.75910857	7.625994004	5.809082758	5.114430799	6.081918064	5.475371093
23.183	-90.642	1	4.668798009	NA	NA	NA	NA	NA	NA	NA	NA
21.927	-88	1	4.470692359	7.049696642	4.994678572	6.660614926	7.591088544	5.765813006	5.093038685	6.443530133	5.422086832
22.542	-88	1	4.605020908	7.060944343	4.73417976	6.770228007	7.569915162	5.744654986	5.09232141	6.59338213	5.3177417
23.156	-88.001	1	4.547441787	6.95757027	4.99901408	6.933851717	7.608874411	5.83088819	5.288429635	6.114526695	5.563323012
23.769	-88.001	1	4.511526298	7.03549778	4.85202679	6.968128626	7.624564893	5.933044333	5.212342195	6.776054262	5.164274493
24.386	-88.002	1	4.429556634	7.091411497	4.69371049	6.793142622	7.539024281	5.765417491	5.03519261	6.148641502	5.189780098
24.994	-87.99	1	4.548468575	7.075637357	4.916269005	6.763309396	7.542387238	5.810996626	5.015361952	6.324836562	5.058758233
25.493	-87.998	1	4.717042341	6.114283785	4.554573659	6.802115167	7.326100564	5.537222142	5.091732307	2.286790703	5.175496223
26	-88	1	4.376558221	7.088404706	5.037559188	6.784700082	7.506759305	5.85962974	5.199089111	6.456123113	5.153939264
23.088	-86.273	1	4.841026474	6.882390498	5.106499741	6.94376434	7.470387741	5.841983475	5.245915697	6.039856838	5.148280439
22.734	-86.49	1	4.710531252	6.899505694	5.422348601	7.00724943	7.54450655	6.020403243	5.151019229	7.378354661	4.380041903
22.54	-86.611	1	4.803924624	7.006430573	4.90739971	6.892198268	7.503129952	5.825907069	5.124225571	6.196154952	5.058034138
22.348	-86.744	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
22.254	-86.81	1	4.54927827	6.994093201	4.648146989	6.58284063	7.497587025	5.595397418	5.191094519	4.78135332	4.76640413
22.206	-86.833	1	4.414738142	7.11559238	4.343934879	6.848651792	7.430792865	5.628979634	5.187905733	6.052800498	5.131285836
22.073	-86.916	1	4.912475829	6.99745101	4.626207134	6.784470692	7.522387205	5.679485216	5.062699473	6.595056098	5.150241937
21.948	-86.992	1	4.878063377	6.948876737	4.513523086	6.665760431	7.551715998	5.589557423	5.081521891	6.079996499	5.439543113
21.551	-86.749	1	4.595048235	6.718597383	4.282886193	6.786717727	7.546096636	5.597459444	5.290277501	4.951353179	5.751284424
21.591	-86.503	1	4.479485716	7.037997859	5.06735877	6.829226316	7.468787642	5.864427975	5.328803779	6.416942861	5.13572486
21.633	-86.242	1	4.599779849	7.128577031	4.821363271	6.913932208	7.496732653	5.79891814	5.178754081	5.998761593	5.39501342
21.665	-85.98	1	4.401659903	NA	NA	NA	7.450840609	NA	NA	NA	5.502523549
21.678	-85.897	1	4.44648648	6.929739988	4.953271296	6.753523448	7.486823487	5.749250066	5.271669745	5.79972821	5.388731651
24.4	-80.625	1	4.188028332	7.211510584	4.839283472	6.753745861	7.460303106	5.840293081	5.251363634	6.651005514	5.090823626
24.517	-80.63	1	4.587623117	7.155172416	4.647374475	6.968914055	7.465518869	5.816529032	5.311810257	6.709817411	5.261929555
24.735	-80.622	1	4.570167229	NA	NA	NA	NA	NA	5.38681563	NA	5.747549673
24.466	-82.867	1	4.467953817	7.045339551	4.673826443	6.891606097	7.509131059	5.719255591	5.310191125	5.502735429	5.722443361
26.596	-82.696	1	4.8624557	7.088599318	4.242826048	6.884823965	7.503551232	5.676994789	5.23306388	5.684003523	5.522153936
26.63	-82.554	1	4.57353578	6.923728356	4.268843522	6.541326649	7.55129025	5.683723513	5.251425611	5.367954661	5.807947019
26.669	-82.417	1	4.837157099	6.729442508	2.281142626	6.105763311	7.618639775	5.623598808	5.86047427	5.39957795	5.967525912
27.034	-82.615	1	4.779246754	NA	NA	NA	7.489459899	NA	NA	NA	5.451079156
26.955	-82.751	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
26.879	-82.889	1	4.326203375	6.993315397	4.544253932	7.006317034	7.479270095	5.681718144	5.426948405	6.653723865	5.635617321
26.729	-83.101	1	4.516414048	6.945742435	4.235844435	6.741467325	7.557627426	5.578406752	5.436926696	5.936477474	5.868424107
26.62	-83.24	1	4.666233386	7.072037913	4.505420378	6.895798513	7.495693819	5.707196858	5.390399436	6.517910852	5.528143111
